       1,     3139100.0000,      47100.0000
       2,     3139120.0000,      47140.0000
       3,     3139020.0000,      47090.0000
       4,     3139170.0000,      47100.0000
       5,     3139150.0000,      47010.0000
       6,     3139080.0000,      47000.0000
      15,     3139130.0000,      47030.0000
      16,     3139200.0000,      47080.0000
      17,     3139200.0000,      47060.0000
      18,     3139200.0000,      47040.0000
      19,     3139200.0000,      47020.0000
      20,     3139200.0000,      47000.0000
      21,     3139230.0000,      47080.0000
      22,     3139230.0000,      47060.0000
      23,     3139230.0000,      47040.0000
      24,     3139230.0000,      47020.0000
      25,     3139230.0000,      47000.0000
      13,     3139100.0000,      47030.0000
